Page Count, Touch Count, Fault Count, Extra Faults
2048, 169, 169, 0
2048, 170, 170, 0
2048, 171, 171, 0
2048, 172, 172, 0
2048, 173, 173, 0
2048, 174, 174, 0
2048, 175, 175, 0
2048, 176, 176, 0
2048, 177, 177, 0
2048, 178, 178, 0
2048, 179, 179, 0
2048, 180, 180, 0
2048, 181, 181, 0
2048, 182, 182, 0
2048, 183, 183, 0
2048, 184, 184, 0
2048, 185, 185, 0
2048, 186, 186, 0
2048, 187, 187, 0
2048, 188, 188, 0
2048, 189, 189, 0
2048, 190, 190, 0
2048, 191, 191, 0
2048, 192, 192, 0
2048, 193, 193, 0
2048, 194, 194, 0
2048, 195, 195, 0
2048, 196, 196, 0
2048, 197, 197, 0
2048, 198, 198, 0
2048, 199, 199, 0
2048, 200, 200, 0
2048, 201, 201, 0
2048, 202, 202, 0
2048, 203, 203, 0
2048, 204, 204, 0
2048, 205, 205, 0
2048, 206, 206, 0
2048, 207, 207, 0
2048, 208, 208, 0
2048, 209, 209, 0
2048, 210, 210, 0
2048, 211, 211, 0
2048, 212, 212, 0
2048, 213, 213, 0
2048, 214, 214, 0
2048, 215, 215, 0
2048, 216, 216, 0
2048, 217, 217, 0
2048, 218, 218, 0
2048, 219, 219, 0
2048, 220, 220, 0
2048, 221, 221, 0
2048, 222, 222, 0
2048, 223, 223, 0
2048, 224, 224, 0
2048, 225, 225, 0
2048, 226, 226, 0
2048, 227, 227, 0
2048, 228, 228, 0
2048, 229, 229, 0
2048, 230, 230, 0
2048, 231, 231, 0
2048, 232, 232, 0
2048, 233, 233, 0
2048, 234, 234, 0
2048, 235, 235, 0
2048, 236, 236, 0
2048, 237, 237, 0
2048, 238, 238, 0
2048, 239, 239, 0
2048, 240, 240, 0
2048, 241, 241, 0
2048, 242, 242, 0
2048, 243, 243, 0
2048, 244, 244, 0
2048, 245, 245, 0
2048, 246, 246, 0
2048, 247, 247, 0
2048, 248, 248, 0
2048, 249, 249, 0
2048, 250, 250, 0
2048, 251, 251, 0
2048, 252, 252, 0
2048, 253, 253, 0
2048, 254, 254, 0
2048, 255, 255, 0
2048, 256, 256, 0
2048, 257, 257, 0
2048, 258, 258, 0
2048, 259, 259, 0
2048, 260, 260, 0
2048, 261, 261, 0
2048, 262, 262, 0
2048, 263, 263, 0
2048, 264, 264, 0
2048, 265, 265, 0
2048, 266, 266, 0
2048, 267, 267, 0
2048, 268, 268, 0
2048, 269, 269, 0
2048, 270, 270, 0
2048, 271, 271, 0
2048, 272, 272, 0
2048, 273, 273, 0
2048, 274, 274, 0
2048, 275, 275, 0
2048, 276, 276, 0
2048, 277, 277, 0
2048, 278, 278, 0
2048, 279, 279, 0
2048, 280, 280, 0
2048, 281, 281, 0
2048, 282, 282, 0
2048, 283, 283, 0
2048, 284, 284, 0
2048, 285, 285, 0
2048, 286, 286, 0
2048, 287, 287, 0
2048, 288, 288, 0
2048, 289, 289, 0
2048, 290, 290, 0
2048, 291, 291, 0
2048, 292, 292, 0
2048, 293, 293, 0
2048, 294, 294, 0
2048, 295, 295, 0
2048, 296, 296, 0
2048, 297, 297, 0
2048, 298, 298, 0
2048, 299, 299, 0
2048, 300, 300, 0
2048, 301, 301, 0
2048, 302, 302, 0
2048, 303, 303, 0
2048, 304, 304, 0
2048, 305, 305, 0
2048, 306, 306, 0
2048, 307, 307, 0
2048, 308, 308, 0
2048, 309, 309, 0
2048, 310, 310, 0
2048, 311, 311, 0
2048, 312, 312, 0
2048, 313, 313, 0
2048, 314, 314, 0
2048, 315, 315, 0
2048, 316, 316, 0
2048, 317, 317, 0
2048, 318, 318, 0
2048, 319, 319, 0
2048, 320, 320, 0
2048, 321, 321, 0
2048, 322, 322, 0
2048, 323, 323, 0
2048, 324, 324, 0
2048, 325, 325, 0
2048, 326, 326, 0
2048, 327, 327, 0
2048, 328, 328, 0
2048, 329, 329, 0
2048, 330, 330, 0
2048, 331, 331, 0
2048, 332, 332, 0
2048, 333, 333, 0
2048, 334, 334, 0
2048, 335, 335, 0
2048, 336, 336, 0
2048, 337, 337, 0
2048, 338, 338, 0
2048, 339, 339, 0
2048, 340, 340, 0
2048, 341, 341, 0
2048, 342, 342, 0
2048, 343, 343, 0
2048, 344, 344, 0
2048, 345, 345, 0
2048, 346, 346, 0
2048, 347, 347, 0
2048, 348, 348, 0
2048, 349, 349, 0
2048, 350, 350, 0
2048, 351, 351, 0
2048, 352, 352, 0
2048, 353, 353, 0
2048, 354, 354, 0
2048, 355, 355, 0
2048, 356, 356, 0
2048, 357, 357, 0
2048, 358, 358, 0
2048, 359, 359, 0
2048, 360, 360, 0
2048, 361, 361, 0
2048, 362, 362, 0
2048, 363, 363, 0
2048, 364, 364, 0
2048, 365, 365, 0
2048, 366, 366, 0
2048, 367, 367, 0
2048, 368, 368, 0
2048, 369, 369, 0
2048, 370, 370, 0
2048, 371, 371, 0
2048, 372, 372, 0
2048, 373, 373, 0
2048, 374, 374, 0
2048, 375, 375, 0
2048, 376, 376, 0
2048, 377, 377, 0
2048, 378, 378, 0
2048, 379, 379, 0
2048, 380, 380, 0
2048, 381, 381, 0
2048, 382, 382, 0
2048, 383, 383, 0
2048, 384, 384, 0
2048, 385, 385, 0
2048, 386, 386, 0
2048, 387, 387, 0
2048, 388, 388, 0
2048, 389, 389, 0
2048, 390, 390, 0
2048, 391, 391, 0
2048, 392, 392, 0
2048, 393, 393, 0
2048, 394, 394, 0
2048, 395, 395, 0
